timestamp,open,high,low,close,volume
2022-06-22,251.8900,257.1700,250.3700,253.1300,25961215
2022-06-21,250.2550,254.7500,249.5100,253.7400,29928297
2022-06-17,244.7000,250.5000,244.0300,247.6500,43084780
2022-06-16,245.9800,247.4174,243.0200,244.9700,33169160
2022-06-15,248.3100,255.3000,246.4200,251.7600,33111729
2022-06-14,243.8600,245.7400,241.5100,244.4900,28651487
2022-06-13,245.1100,249.0242,241.5300,242.2600,46135788
2022-06-10,260.5800,260.5800,252.5300,252.9900,31445841
2022-06-09,267.7800,272.7081,264.6300,264.7900,26439728
2022-06-08,271.7100,273.0000,269.6100,270.4100,17372341
2022-06-07,266.6350,273.1300,265.9400,272.5000,22860677
2022-06-06,272.0600,274.1800,267.2200,268.7500,22400342
2022-06-03,270.3100,273.4500,268.4100,270.0200,28058958
2022-06-02,264.4500,274.6500,261.6000,274.5800,44008209
2022-06-01,275.1950,277.6900,270.0400,272.4200,25292174
2022-05-31,272.5300,274.7700,268.9300,271.8700,37827695
2022-05-27,268.4800,273.3400,267.5600,273.2400,26910806
2022-05-26,262.2700,267.1100,261.4294,265.9000,25002105
2022-05-25,258.1400,264.5800,257.1250,262.5200,28547947
2022-05-24,257.8900,261.3300,253.5000,259.6200,29043904
2022-05-23,255.4900,261.5000,253.4300,260.6500,33175379
2022-05-20,257.2400,258.5400,246.4400,252.5600,39199279
2022-05-19,253.9000,257.6700,251.8800,253.1400,32692286
2022-05-18,263.0000,263.6000,252.7700,254.0800,31355985
2022-05-17,266.1100,268.3300,262.4600,266.8200,28828799
2022-05-16,259.9550,265.8200,255.7800,261.5000,32550933
2022-05-13,257.3500,263.0400,255.3500,261.1200,34925093
2022-05-12,257.6900,259.8800,250.0200,255.3500,51033802
2022-05-11,265.6800,271.3600,259.3000,260.5500,48975898
2022-05-10,271.6900,273.7500,265.0700,269.5000,39336424
2022-05-09,270.0600,272.3600,263.3200,264.5800,47725952
2022-05-06,274.8050,279.2500,271.2700,274.7300,37780322
2022-05-05,285.5400,286.3500,274.3400,277.3500,43260386
2022-05-04,282.5900,290.8800,276.7300,289.9800,33463409
2022-05-03,283.9600,284.1300,280.1500,281.7800,25978605
2022-05-02,277.7100,284.9400,276.2200,284.4700,35151105
2022-04-29,288.6100,289.8800,276.5000,277.5200,37073923
2022-04-28,285.1850,290.9800,281.4562,289.6300,33646570
2022-04-27,282.1000,290.9700,279.1600,283.2200,63477694
2022-04-26,277.5000,278.3599,270.0000,270.2200,42047008
2022-04-25,273.2900,281.1100,270.7700,280.7200,35678852
2022-04-22,281.6800,283.2000,273.3800,274.0300,29405798
2022-04-21,288.5800,293.3000,280.0600,280.8100,29454587
2022-04-20,289.4000,289.7000,285.3702,286.3600,22805341
2022-04-19,279.3800,286.1700,278.4100,285.3000,22297720
2022-04-18,278.9100,282.4600,278.3400,280.5200,20778000
2022-04-14,288.0900,288.3050,279.3200,279.8300,28221607
2022-04-13,282.7300,288.5800,281.3000,287.6200,21907176
2022-04-12,289.2350,290.7390,280.4900,282.0600,30966721
2022-04-11,291.7900,292.6100,285.0000,285.2600,34569264
